Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Google Maps;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;2030;2029;2028;2027;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J
Alimentaire;fromagerie;GAEC des Tilleuls;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 Grande rue;Marolles Les Bailly;10100;06 86 72 00 93;https://maliceetfromageblanc.fr/;48.186500588786295, 4.349400815476413;;;;;;;;28;N° 28 GAEC des Tilleuls;34;N° 34 GAEC des Tilleuls;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Boulangerie;PAIN GOURMAND;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8, Boulevard Goerges Pompidou;Troyes;10000;03 25 49 97 55;https://fr.linkedin.com/in/frederic-amiot-487000144;48.28671894658467, 4.079085980556557;;;;;;;;28;N° 28 PAIN GOURMAND;34;N° 34 PAIN GOURMAND;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fruits et Légumes;COOPERATIVE DE FRUITS & LEGUMES DES P.O.;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZA rue Henri MARCHAL;SAINT-HYPPOLYTE;65510;04 68 59 59 59;https://www.teraneo.eu/fr;42.774457343222586, 2.9597828127105457;;;;;;;;28;N° 28 COOPERATIVE DE FRUITS & LEGUMES DES P.O.;34;N° 34 COOPERATIVE DE FRUITS & LEGUMES DES P.O.;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cosmétique;Cosmétiques & parfums;Christian DIOR;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185 avenue de Verdun;SAINT JEAN DE BRAYE;45800;02 38 60 30 30;https://www.linkedin.com/company/parfums-christian-dior;47.92687770846521, 1.9896248984419156;;;;;;;;28;N° 28 Christian DIOR;34;N° 34 Christian DIOR;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;fromagerie;NOUVELLE FROMAGERIE DE VAUDES;";2022=1  ; 2020=1  ; 2018=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grande Rue;Vaudes;10260;03 25 40 92 33;https://fr.linkedin.com/company/nouvelle-fromagerie-de-vaudes;48.17420979961018, 4.1957788960244935;;;;;;;;4;N° 4 NOUVELLE FROMAGERIE DE VAUDES;34;N° 34 NOUVELLE FROMAGERIE DE VAUDES;;;;;;;;;1;;1;;1;;;;;;12;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Médical;Laboratoire;LATTICE MEDICAL;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80 rue du Dr Yersin;Loos;59120;09 73 79 84 12;https://www.eurasante.com/entreprises/lattice-medical/;50.60490393972481, 3.0270315942823336;;;;;;;;28;N° 28 LATTICE MEDICAL;34;N° 34 LATTICE MEDICAL;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Contre qualité des pommes de terre;EUROCELP;";2022=1 ; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 rue des près de Lyon;LA CHAPELLE-SAINT-LUC;10600;09 52 04 82 74;https://fr.linkedin.com/company/eurocelp;48.31406075898062, 4.02873994075064;;;;;;;;7;N° 7 EUROCELP;15;N° 15 EUROCELP;;;;;;;;;1;1;;;;;;;;;10;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;brasserie;C'EST DE LA BAL;"        ;2022=1 ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78 Rue Roger Salengro;Neuves-Maisons;54230;07 69 27 12 18;https://fr.linkedin.com/in/nadege-parmentier-584319208;48.6168082487408, 6.096208271443422;;;;;;;;7;N° 7 C'EST DE LA BAL;15;N° 15 C'EST DE LA BAL;;;;;;;;;1;1;0;0;0;0;0;0;0;0;10;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Médical;Laboratoire;DYNALAB;"        ;2022=1 ; 2021=2        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9 Rue Bernard Palissy;LA CHAPELLE-SAINT-LUC;10600;03 25 43 35 43;https://fr.linkedin.com/company/laboratoire-dynalab;48.3069560666371, 4.039610456093209;;;;;;;;3;N° 3 DYNALAB;4;N° 4 DYNALAB;;;;;;;;;1;2;0;0;0;0;0;0;0;0;15;10;0;0;1;0;0;0;0;0;0;2;0;0;0;0
Alimentaire;vin;Chassenay d'Arce;"        ;2022=1         ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11, rue du pressoir;VILLE sur ARCE;10110;03 25 38 30 70;https://chassenay.com/contact/;48.10658223787914, 4.445766861028202;;;;;;;;28;N° 28 Chassenay d'Arce;34;N° 34 Chassenay d'Arce;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;vin;Union Auboise (Champagne Devaux);"          ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domaine de Villeneuve BP17;Bar sur Seine;10110;03 25 38 30 65;http://www.champagne-devaux.fr/;48.094576200049396, 4.382040438161986;;;;;;;;28;N° 28 Union Auboise (Champagne Devaux);15;N° 15 Union Auboise (Champagne Devaux);;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;boucherie industrielle;MOY PARK BEEF;"          ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6 rue dis pins;FLEURY LES Aubrays;45400;02 38 70 90 90;https://fr.linkedin.com/company/moy-park-beef-orl%C3%A9ans;47.94555916427668, 1.9318395272488647;;;;;;;;28;N° 28 MOY PARK BEEF;15;N° 15 MOY PARK BEEF;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;boucherie industrielle;Saviel Jean Rozé;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4 Rue de Prague 
Parc du Grand Troyes";SAINTE-SAVINE;10300;03 25 45 19 30;https://fr.linkedin.com/company/sva-jean-roze;48.297253607371196, 4.011911606670133;;;;;;;;28;N° 28 Saviel Jean Rozé;15;N° 15 Saviel Jean Rozé;;;;;;;;;0;1;;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;fromagerie;FROMAGERIE de CHAMP sus Barse;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ferme du Champ Roy 3 grande rue;Champ sur Barse;10140;03 25 70 67 30;https://domaine-foret-orient.com/ferme-du-champ-roy/;48.239748219847165, 4.4132390153950825;;;;;;;;28;N° 28 FROMAGERIE de CHAMP sus Barse;15;N° 15 FROMAGERIE de CHAMP sus Barse;;;;;;;;;0;1;;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;cidre et boissons;ECLOR BOISSONS;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 rue du Croc du Gré;Chaource;10210;03 25 40 11 01;https://fr.linkedin.com/company/eclor;48.05690204932341, 4.140379190284533;;;;;;;;28;N° 28 ECLOR BOISSONS;15;N° 15 ECLOR BOISSONS;;;;;;;;;0;1;;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Médical;Hôpital;CENTRE DE REEDUCATION PASTEUR;"          ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 Esplanade Lucien Péchart;Troyes;10000;03 25 43 78 84;https://fr.linkedin.com/in/crrf-pasteur-pasteur-084993150;48.30244724548061, 4.062274653126366;;;;;;;;28;N° 28 CENTRE DE REEDUCATION PASTEUR;15;N° 15 CENTRE DE REEDUCATION PASTEUR;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;plats cuisinés surgelés;PIERRON;"          ; 2021=2        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32 Route D'Euville;Commercy;55200;03 29 91 07 92;http://www.pierron-commercy.com/;48.760389520224045, 5.60242101665896;;;;;;;;7;N° 7 PIERRON;4;N° 4 PIERRON;;;;;;;;;0;2;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Alimentaire;Abattoir;Société Exploitation Abattoirs de Chaumont;"          ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue de l'Abattoir;Chaumont;52000;03 25 03 89 71;https://www.lafranceagricole.fr/actualites/elevage/haute-marne-unnouvelabattoirpour2023-1,1,2695094608.html;48.122253376491585, 5.151000379375074;;;;;;;;28;N° 28 Société Exploitation Abattoirs de Chaumont;15;N° 15 Société Exploitation Abattoirs de Chaumont;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;Abattoir;SICABA;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 Av. des Tirverts;Pont-Sainte-Marie;10150;03 25 80 09 42;https://fr.kompass.com/c/s-i-c-a-b-a/fr0126279/;48.31549179494977, 4.084672859229383;;;;;;;;34;N° 34 SICABA;34;N° 34 SICABA;;;;;;;;;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;fruits surgelés;FRUITS ROUGES & CO;"          ; 2021=2 ; 2020=2       ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue Jean Bodin;Laon;02000;03 23 28 49 49;https://www.fruitsrougesandco.com/;49.57972380664785, 3.6535650844155403;;;;;;;;2;N° 2 FRUITS ROUGES & CO;4;N° 4 FRUITS ROUGES & CO;;;;;;;;;0;2;2;0;0;0;0;0;0;0;18;10;0;0;0;2;0;0;0;0;0;2;0;0;0;0
Alimentaire;boissons en poudre;NESTLE;"          ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 Avenue Jean Jaurès;Challerange;08400;03 24 71 10 55;http://www.nestle.fr/;49.307704602490155, 4.747362973854435;;;;;;;;28;N° 28 NESTLE;15;N° 15 NESTLE;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;brasserie;BRASSERIE LARCHÉ;"          ; 2021=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89 Rue Bellocier;Sens;89100;03 86 65 19 89;https://www.brasserie-larche.fr/;48.203452368770066, 3.267762776392258;;;;;;;;28;N° 28 BRASSERIE LARCHÉ;15;N° 15 BRASSERIE LARCHÉ;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Lycée;Etudiants en  BTS Bioqualité;Lycée Les Lombards;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12 avenue les Lombards;Troyes;10000;325714660;https://fr.linkedin.com/company/lycee-polyvalent-les-lombards/;48.27385633751622, 4.071713932691602;;;;;;;;3;N° 3 Lycée Les Lombards;3;N° 3 Lycée Les Lombards;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
